Date,State Name,county Name,State Code,County Code,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2015-02-25,California,Los Angeles,6,37,60,Moderate,PM2.5,06-037-1201,14
2015-02-26,California,Los Angeles,6,37,71,Moderate,PM2.5,06-037-1103,17
2015-02-27,California,Los Angeles,6,37,66,Moderate,PM2.5,06-037-1201,13
2015-02-28,California,Los Angeles,6,37,42,Good,Ozone,06-037-6012,16
2015-03-01,California,Los Angeles,6,37,48,Good,PM2.5,06-037-1201,17
2015-03-02,California,Los Angeles,6,37,56,Moderate,PM2.5,06-037-1201,16
2015-03-03,California,Los Angeles,6,37,54,Moderate,PM2.5,06-037-1201,15
2015-03-04,California,Los Angeles,6,37,50,Good,PM2.5,06-037-1201,16
2015-03-05,California,Los Angeles,6,37,54,Moderate,NO2,06-037-1103,15
2015-03-06,California,Los Angeles,6,37,54,Moderate,NO2,06-037-4006,16
2015-03-07,California,Los Angeles,6,37,60,Moderate,PM2.5,06-037-4008,17
2015-03-08,California,Los Angeles,6,37,71,Moderate,Ozone,06-037-1701,16
2015-03-09,California,Los Angeles,6,37,91,Moderate,PM2.5,06-037-1103,16
2015-03-10,California,Los Angeles,6,37,115,Unhealthy for Sensitive Groups,Ozone,06-037-9033,17
2015-03-11,California,Los Angeles,6,37,83,Moderate,PM2.5,06-037-4004,16
2015-03-12,California,Los Angeles,6,37,60,Moderate,NO2,06-037-4006,16
2015-03-13,California,Los Angeles,6,37,61,Moderate,NO2,06-037-4006,17
2015-03-14,California,Los Angeles,6,37,84,Moderate,Ozone,06-037-1602,16
2015-03-15,California,Los Angeles,6,37,93,Moderate,Ozone,06-037-1602,16
2015-03-16,California,Los Angeles,6,37,100,Moderate,Ozone,06-037-0113,17
2015-03-17,California,Los Angeles,6,37,87,Moderate,Ozone,06-037-6012,16
2015-03-18,California,Los Angeles,6,37,74,Moderate,PM2.5,06-037-1201,16
2015-03-19,California,Los Angeles,6,37,125,Unhealthy for Sensitive Groups,PM2.5,06-037-4008,17
2015-03-20,California,Los Angeles,6,37,114,Unhealthy for Sensitive Groups,PM2.5,06-037-4004,15
2015-03-21,California,Los Angeles,6,37,100,Moderate,Ozone,06-037-6012,16
2015-03-22,California,Los Angeles,6,37,74,Moderate,PM2.5,06-037-1201,17
2015-03-23,California,Los Angeles,6,37,58,Moderate,PM2.5,06-037-0016,16
2015-03-24,California,Los Angeles,6,37,51,Moderate,PM2.5,06-037-1103,15
2015-03-25,California,Los Angeles,6,37,60,Moderate,PM2.5,06-037-1103,17
2015-03-26,California,Los Angeles,6,37,62,Moderate,NO2,06-037-5005,16
2015-03-27,California,Los Angeles,6,37,90,Moderate,Ozone,06-037-1103,15
2015-03-28,California,Los Angeles,6,37,77,Moderate,Ozone,06-037-6012,17
2015-03-29,California,Los Angeles,6,37,80,Moderate,Ozone,06-037-0016,16
2015-03-30,California,Los Angeles,6,37,112,Unhealthy for Sensitive Groups,Ozone,06-037-6012,16
2015-03-31,California,Los Angeles,6,37,97,Moderate,Ozone,06-037-6012,17
2015-04-01,California,Los Angeles,6,37,77,Moderate,Ozone,06-037-6012,16
2015-04-02,California,Los Angeles,6,37,80,Moderate,Ozone,06-037-1701,16
2015-04-03,California,Los Angeles,6,37,80,Moderate,Ozone,06-037-4008,17
2015-04-04,California,Los Angeles,6,37,134,Unhealthy for Sensitive Groups,PM2.5,06-037-4008,16
2015-04-05,California,Los Angeles,6,37,87,Moderate,Ozone,06-037-6012,16
2015-04-06,California,Los Angeles,6,37,58,Moderate,Ozone,06-037-1701,17
2015-04-07,California,Los Angeles,6,37,46,Good,Ozone,06-037-1701,15
2015-04-08,California,Los Angeles,6,37,49,Good,Ozone,06-037-6012,15
2015-04-09,California,Los Angeles,6,37,74,Moderate,Ozone,06-037-6012,16
2015-04-10,California,Los Angeles,6,37,105,Unhealthy for Sensitive Groups,Ozone,06-037-1201,16
2015-04-11,California,Los Angeles,6,37,112,Unhealthy for Sensitive Groups,Ozone,06-037-1201,16
2015-04-12,California,Los Angeles,6,37,136,Unhealthy for Sensitive Groups,Ozone,06-037-6012,17
2015-04-13,California,Los Angeles,6,37,112,Unhealthy for Sensitive Groups,Ozone,06-037-6012,16
2015-04-14,California,Los Angeles,6,37,77,Moderate,PM2.5,06-037-1103,16
2015-04-15,California,Los Angeles,6,37,84,Moderate,Ozone,06-037-1701,17
2015-04-16,California,Los Angeles,6,37,84,Moderate,Ozone,06-037-1701,16
2015-04-17,California,Los Angeles,6,37,100,Moderate,Ozone,06-037-6012,16
2015-04-18,California,Los Angeles,6,37,129,Unhealthy for Sensitive Groups,Ozone,06-037-6012,17
2015-04-19,California,Los Angeles,6,37,150,Unhealthy for Sensitive Groups,Ozone,06-037-1701,16
2015-04-20,California,Los Angeles,6,37,119,Unhealthy for Sensitive Groups,Ozone,06-037-9033,16
2015-04-21,California,Los Angeles,6,37,61,Moderate,Ozone,06-037-1201,16
2015-04-22,California,Los Angeles,6,37,61,Moderate,Ozone,06-037-9033,15
2015-04-23,California,Los Angeles,6,37,56,Moderate,PM2.5,06-037-0016,16
2015-04-24,California,Los Angeles,6,37,51,Moderate,PM2.5,06-037-0016,17
2015-04-25,California,Los Angeles,6,37,50,Good,PM2.5,06-037-0016,16
2015-04-26,California,Los Angeles,6,37,77,Moderate,Ozone,06-037-1701,16
2015-04-27,California,Los Angeles,6,37,108,Unhealthy for Sensitive Groups,Ozone,06-037-1701,16
2015-04-28,California,Los Angeles,6,37,112,Unhealthy for Sensitive Groups,Ozone,06-037-6012,16
2015-04-29,California,Los Angeles,6,37,119,Unhealthy for Sensitive Groups,Ozone,06-037-9033,16
2015-04-30,California,Los Angeles,6,37,125,Unhealthy for Sensitive Groups,PM2.5,06-037-4008,17
2015-05-01,California,Los Angeles,6,37,77,Moderate,Ozone,06-037-9033,15
