Date,AQI
2015-01-04,118.5
2015-01-11,80.0
2015-01-18,81.71428571428571
2015-01-25,102.28571428571429
2015-02-01,63.142857142857146
2015-02-08,117.57142857142857
2015-02-15,60.142857142857146
2015-02-22,108.57142857142857
2015-03-01,54.285714285714285
2015-03-08,57.0
2015-03-15,83.85714285714286
2015-03-22,96.28571428571429
2015-03-29,68.28571428571429
2015-04-05,95.28571428571429
2015-04-12,82.85714285714286
2015-04-19,105.14285714285714
2015-04-26,67.85714285714286
2015-05-03,98.85714285714286
2015-05-10,64.0
2015-05-17,81.28571428571429
2015-05-24,66.42857142857143
2015-05-31,132.0
2015-06-07,99.71428571428571
2015-06-14,100.28571428571429
2015-06-21,177.28571428571428
2015-06-28,165.14285714285714
2015-07-05,128.85714285714286
2015-07-12,76.42857142857143
2015-07-19,86.71428571428571
2015-07-26,78.28571428571429
2015-08-02,133.28571428571428
2015-08-09,109.85714285714286
2015-08-16,127.57142857142857
2015-08-23,154.28571428571428
2015-08-30,125.85714285714286
2015-09-06,116.42857142857143
2015-09-13,88.57142857142857
2015-09-20,99.28571428571429
2015-09-27,146.42857142857142
2015-10-04,95.85714285714286
2015-10-11,86.42857142857143
2015-10-18,77.14285714285714
2015-10-25,59.57142857142857
2015-11-01,71.85714285714286
2015-11-08,50.57142857142857
2015-11-15,58.285714285714285
2015-11-22,59.857142857142854
2015-11-29,57.857142857142854
2015-12-06,63.714285714285715
2015-12-13,62.57142857142857
2015-12-20,62.42857142857143
2015-12-27,62.57142857142857
2016-01-03,82.57142857142857
2016-01-10,63.42857142857143
2016-01-17,75.85714285714286
2016-01-24,65.85714285714286
2016-01-31,63.0
2016-02-07,57.0
2016-02-14,85.57142857142857
2016-02-21,61.57142857142857
2016-02-28,76.14285714285714
2016-03-06,92.28571428571429
2016-03-13,50.285714285714285
2016-03-20,82.14285714285714
2016-03-27,71.71428571428571
2016-04-03,65.42857142857143
2016-04-10,68.57142857142857
2016-04-17,64.42857142857143
2016-04-24,91.0
2016-05-01,62.857142857142854
2016-05-08,57.714285714285715
2016-05-15,82.42857142857143
2016-05-22,58.57142857142857
2016-05-29,68.0
2016-06-05,143.71428571428572
2016-06-12,99.57142857142857
2016-06-19,108.14285714285714
2016-06-26,146.57142857142858
2016-07-03,142.42857142857142
2016-07-10,118.14285714285714
2016-07-17,136.42857142857142
2016-07-24,138.0
2016-07-31,140.0
2016-08-07,129.28571428571428
2016-08-14,131.14285714285714
2016-08-21,93.71428571428571
2016-08-28,114.14285714285714
2016-09-04,116.28571428571429
2016-09-11,93.28571428571429
2016-09-18,96.0
2016-09-25,80.14285714285714
2016-10-02,73.42857142857143
2016-10-09,79.0
2016-10-16,68.28571428571429
2016-10-23,67.71428571428571
2016-10-30,58.285714285714285
2016-11-06,68.85714285714286
2016-11-13,74.57142857142857
2016-11-20,70.42857142857143
2016-11-27,65.14285714285714
2016-12-04,66.14285714285714
2016-12-11,83.28571428571429
2016-12-18,81.85714285714286
2016-12-25,62.857142857142854
2017-01-01,70.0
2017-01-08,63.0
2017-01-15,58.714285714285715
2017-01-22,56.714285714285715
2017-01-29,65.14285714285714
2017-02-05,68.57142857142857
2017-02-12,49.714285714285715
2017-02-19,55.57142857142857
2017-02-26,53.142857142857146
2017-03-05,56.142857142857146
2017-03-12,77.42857142857143
2017-03-19,92.85714285714286
2017-03-26,53.42857142857143
2017-04-02,56.285714285714285
2017-04-09,73.57142857142857
2017-04-16,80.14285714285714
2017-04-23,79.28571428571429
2017-04-30,78.71428571428571
2017-05-07,108.14285714285714
2017-05-14,63.142857142857146
2017-05-21,82.14285714285714
2017-05-28,93.71428571428571
2017-06-04,116.85714285714286
2017-06-11,72.0
2017-06-18,141.14285714285714
2017-06-25,164.28571428571428
2017-07-02,131.14285714285714
2017-07-09,178.28571428571428
2017-07-16,126.0
2017-07-23,150.0
2017-07-30,105.42857142857143
2017-08-06,135.28571428571428
2017-08-13,134.0
2017-08-20,91.28571428571429
2017-08-27,133.0
2017-09-03,175.85714285714286
2017-09-10,95.42857142857143
2017-09-17,79.14285714285714
2017-09-24,72.14285714285714
2017-10-01,93.28571428571429
2017-10-08,97.85714285714286
2017-10-15,89.71428571428571
2017-10-22,81.57142857142857
2017-10-29,90.42857142857143
2017-11-05,54.857142857142854
2017-11-12,58.0
2017-11-19,69.42857142857143
2017-11-26,78.57142857142857
2017-12-03,71.71428571428571
2017-12-10,80.0
2017-12-17,90.0
2017-12-24,82.28571428571429
2017-12-31,134.71428571428572
2018-01-07,107.14285714285714
2018-01-14,68.14285714285714
2018-01-21,73.14285714285714
2018-01-28,58.857142857142854
2018-02-04,86.14285714285714
2018-02-11,83.85714285714286
2018-02-18,54.142857142857146
2018-02-25,52.57142857142857
2018-03-04,53.714285714285715
2018-03-11,61.57142857142857
2018-03-18,49.42857142857143
2018-03-25,54.0
2018-04-01,73.28571428571429
2018-04-08,70.71428571428571
2018-04-15,82.0
2018-04-22,71.57142857142857
2018-04-29,82.85714285714286
2018-05-06,85.71428571428571
2018-05-13,93.85714285714286
2018-05-20,70.0
2018-05-27,61.285714285714285
2018-06-03,93.42857142857143
2018-06-10,108.85714285714286
2018-06-17,99.14285714285714
2018-06-24,138.0
2018-07-01,109.42857142857143
2018-07-08,130.71428571428572
2018-07-15,89.14285714285714
2018-07-22,98.28571428571429
2018-07-29,162.28571428571428
2018-08-05,118.71428571428571
2018-08-12,134.14285714285714
2018-08-19,107.85714285714286
2018-08-26,115.0
2018-09-02,109.71428571428571
2018-09-09,121.42857142857143
