"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"11/23/2020","85","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","14","39","0","43","85","37"
"11/24/2020","74","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","11","43","0","32","74","55"
"11/25/2020","78","PM2.5","Compton","06-037-1302","AQS","18","47","1","38","78","61"
"11/26/2020","82","PM2.5","Compton","06-037-1302","AQS","17","46","4","33","82","38"
"11/27/2020","84","PM2.5","Compton","06-037-1302","AQS","20","38","3","34","84","49"
"11/28/2020","66","PM2.5","Compton","06-037-1302","AQS","22","39","1","28","66","42"
"11/29/2020","66","PM2.5","Long Beach (South)","06-037-4004","AQS","24","42","1","37","66","39"
"11/30/2020","79","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","38","4","33","71","79"
"12/01/2020","81","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","26","38","3","35","81","74"
"12/02/2020","93","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","25","46","3","30","93","72"
"12/03/2020","109","PM2.5","Long Beach (South)","06-037-4004","AQS","27","44","0","29","109","85"
"12/04/2020","71","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","27","42","1","38","70","71"
"12/05/2020","108","PM2.5","Compton","06-037-1302","AQS","31","39","1","42","108","68"
"12/06/2020","109","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","26","44","0","44","109","48"
"12/07/2020","93","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","27","43","3","42","93","81"
"12/08/2020","85","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","28","42","1","33","60","85"
"12/09/2020","67","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","40","3","49","64","67"
"12/10/2020","68","PM2.5","Compton","06-037-1302","AQS","13","38","0","44","68","50"
"12/11/2020","81","PM2.5","Compton","06-037-1302","AQS","19","41","0","36","81","50"
"12/12/2020","96","PM2.5","Compton","06-037-1302","AQS","24","39","0","37","96","36"
"12/13/2020","73","PM2.5","Long Beach (South)","06-037-4004","AQS","19","44","0","25","73","33"
"12/14/2020","46","PM2.5","Pico Rivera #2","06-037-1602","AQS","8","39","0","23","46","46"
"12/15/2020","86","PM2.5","Compton","06-037-1302","AQS","16","40","0","25","86","60"
"12/16/2020","68","PM2.5","Long Beach (South)","06-037-4004","AQS","19","35","0","34","68","65"
"12/17/2020","76","PM2.5","Compton","06-037-1302","AQS","24","40","4","39","76","53"
"12/18/2020","89","PM2.5","Compton","06-037-1302","AQS","23","41","0","22","89","51"
"12/19/2020","82","PM2.5","Compton","06-037-1302","AQS","32","38","0","28","82","48"
"12/20/2020","83","PM2.5","Compton","06-037-1302","AQS","23","43","1","31","83","46"
"12/21/2020","61","PM2.5","Compton","06-037-1302","AQS","30","39","1","45","61","60"
"12/22/2020","74","PM2.5","Compton","06-037-1302","AQS","18","36","3","25","74","49"
"12/23/2020","94","PM2.5","Compton","06-037-1302","AQS","20","43","3","47","94","71"
"12/24/2020","67","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","18","39","0","28","67","53"
"12/25/2020","76","PM2.5","Compton","06-037-1302","AQS","15","43","1","21","76","36"
"12/26/2020","116","PM2.5","Compton","06-037-1302","AQS","28","42","1","17","116","37"
"12/27/2020","67","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","36","0","21","67","25"
"12/28/2020","51","PM2.5","Compton","06-037-1302","AQS","6","34","0","8","51","41"
"12/29/2020","64","PM2.5","Compton","06-037-1302","AQS","20","39","1","17","64","51"
"12/30/2020","76","PM2.5","Compton","06-037-1302","AQS","25","42","1","18","76","57"
"12/31/2020","120","PM2.5","Compton","06-037-1302","AQS","28","37","0","14","120","54"
