Date,AQI
2015-01-04,49.45
2015-01-11,47.51428571428572
2015-01-18,56.0
2015-01-25,49.800000000000004
2015-02-01,44.34285714285714
2015-02-08,57.57142857142857
2015-02-15,46.37142857142857
2015-02-22,53.97142857142858
2015-03-01,49.82857142857143
2015-03-08,55.42857142857143
2015-03-15,44.771428571428565
2015-03-22,39.628571428571426
2015-03-29,39.68571428571429
2015-04-05,39.25714285714286
2015-04-12,39.542857142857144
2015-04-19,40.82857142857143
2015-04-26,34.142857142857146
2015-05-03,34.51428571428572
2015-05-10,57.25714285714286
2015-05-17,51.714285714285715
2015-05-24,43.88571428571429
2015-05-31,42.62857142857143
2015-06-07,26.828571428571426
2015-06-14,65.08571428571429
2015-06-21,34.77142857142858
2015-06-28,40.48571428571429
2015-07-05,50.800000000000004
2015-07-12,53.142857142857146
2015-07-19,49.800000000000004
2015-07-26,49.28571428571429
2015-08-02,57.42857142857144
2015-08-09,43.6
2015-08-16,53.40000000000001
2015-08-23,43.42857142857143
2015-08-30,54.085714285714296
2015-09-06,61.857142857142854
2015-09-13,38.8
2015-09-20,58.42857142857144
2015-09-27,29.85714285714286
2015-10-04,20.771428571428572
2015-10-11,31.02857142857143
2015-10-18,27.97142857142857
2015-10-25,35.48571428571429
2015-11-01,29.77142857142857
2015-11-08,47.628571428571426
2015-11-15,29.314285714285717
2015-11-22,30.200000000000006
2015-11-29,38.74285714285714
2015-12-06,42.971428571428575
2015-12-13,68.22857142857143
2015-12-20,31.542857142857144
2015-12-27,42.22857142857142
2016-01-03,39.02857142857143
2016-01-10,53.371428571428574
2016-01-17,46.25714285714286
2016-01-24,36.08571428571429
2016-01-31,52.857142857142854
2016-02-07,42.82857142857143
2016-02-14,37.17142857142858
2016-02-21,41.08571428571428
2016-02-28,35.08571428571429
2016-03-06,37.228571428571435
2016-03-13,50.57142857142857
2016-03-20,31.342857142857145
2016-03-27,39.542857142857144
2016-04-03,36.31428571428572
2016-04-10,33.4
2016-04-17,37.228571428571435
2016-04-24,47.685714285714276
2016-05-01,34.94285714285714
2016-05-08,25.542857142857144
2016-05-15,43.0
2016-05-22,37.25714285714286
2016-05-29,70.6
2016-06-05,39.17142857142857
2016-06-12,45.2
2016-06-19,49.285714285714285
2016-06-26,56.8
2016-07-03,38.71428571428571
2016-07-10,48.34285714285715
2016-07-17,57.31428571428571
2016-07-24,59.971428571428575
2016-07-31,61.6
2016-08-07,34.028571428571425
2016-08-14,50.54285714285715
2016-08-21,41.942857142857136
2016-08-28,44.028571428571425
2016-09-04,37.51428571428572
2016-09-11,39.714285714285715
2016-09-18,34.2
2016-09-25,37.25714285714286
2016-10-02,26.171428571428574
2016-10-09,34.17142857142857
2016-10-16,31.085714285714282
2016-10-23,36.74285714285714
2016-10-30,29.685714285714287
2016-11-06,34.285714285714285
2016-11-13,34.8
2016-11-20,45.08571428571429
2016-11-27,34.885714285714286
2016-12-04,32.68571428571429
2016-12-11,38.54285714285714
2016-12-18,46.371428571428574
2016-12-25,46.25714285714285
2017-01-01,38.885714285714286
2017-01-08,43.285714285714285
2017-01-15,44.91428571428571
2017-01-22,51.142857142857146
2017-01-29,33.8
2017-02-05,39.34285714285714
2017-02-12,46.885714285714286
2017-02-19,43.48571428571428
2017-02-26,38.82857142857143
2017-03-05,39.028571428571425
2017-03-12,38.60000000000001
2017-03-19,40.457142857142856
2017-03-26,44.314285714285724
2017-04-02,33.885714285714286
2017-04-09,37.142857142857146
2017-04-16,47.54285714285714
2017-04-23,32.65714285714286
2017-04-30,35.97142857142857
2017-05-07,33.08571428571429
2017-05-14,31.14285714285714
2017-05-21,54.142857142857146
2017-05-28,31.97142857142857
2017-06-04,32.17142857142857
2017-06-11,47.199999999999996
2017-06-18,55.171428571428564
2017-06-25,47.142857142857146
2017-07-02,44.114285714285714
2017-07-09,45.91428571428572
2017-07-16,45.942857142857136
2017-07-23,65.34285714285714
2017-07-30,32.05714285714286
2017-08-06,51.942857142857136
2017-08-13,45.857142857142854
2017-08-20,42.95
2017-08-27,42.82142857142857
2017-09-03,31.492857142857144
2017-09-10,38.0
2017-09-17,43.971428571428575
2017-09-24,35.6
2017-10-01,31.028571428571432
2017-10-08,35.857142857142854
2017-10-15,27.914285714285715
2017-10-22,36.971428571428575
2017-10-29,33.028571428571425
2017-11-05,28.34285714285715
2017-11-12,30.885714285714283
2017-11-19,34.6
2017-11-26,35.028571428571425
2017-12-03,40.45714285714285
2017-12-10,41.028571428571425
2017-12-17,40.685714285714276
2017-12-24,42.885714285714286
2017-12-31,38.971428571428575
2018-01-07,46.11428571428571
2018-01-14,48.88571428571429
2018-01-21,54.31428571428571
2018-01-28,42.05714285714286
2018-02-04,38.08571428571429
2018-02-11,49.37142857142857
2018-02-18,40.65714285714286
2018-02-25,37.71428571428572
2018-03-04,34.285714285714285
2018-03-11,30.685714285714283
2018-03-18,32.68571428571429
2018-03-25,33.628571428571426
2018-04-01,42.885714285714286
2018-04-08,36.51428571428571
2018-04-15,47.57142857142857
2018-04-22,33.31428571428571
2018-04-29,39.91428571428571
2018-05-06,55.199999999999996
2018-05-13,36.628571428571426
2018-05-20,37.02857142857143
2018-05-27,51.942857142857136
2018-06-03,37.6
2018-06-10,35.857142857142854
2018-06-17,41.77142857142858
2018-06-24,46.771428571428565
2018-07-01,54.371428571428574
2018-07-08,53.25714285714287
2018-07-15,65.05714285714286
2018-07-22,44.17142857142857
2018-07-29,37.800000000000004
2018-08-05,37.17142857142858
2018-08-12,61.00000000000001
2018-08-19,50.77142857142858
2018-08-26,35.94285714285714
