,Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
0,2020-01-01,102,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,14,38,1,11,102,30
1,2020-01-02,72,PM2.5,Compton,06-037-1302,AQS,15,36,3,17,72,46
2,2020-01-03,87,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,22,33,1,22,87,53
3,2020-01-04,104,PM2.5,Compton,06-037-1302,AQS,35,35,1,40,104,46
4,2020-01-05,103,PM2.5,Compton,06-037-1302,AQS,25,40,0,14,103,43
5,2020-01-06,72,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,20,42,3,18,72,67
6,2020-01-07,49,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,13,32,1,25,45,49
7,2020-01-08,59,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,16,34,0,19,59,42
8,2020-01-09,49,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,13,35,0,17,49,49
9,2020-01-10,66,PM2.5,Compton,06-037-1302,AQS,17,31,1,26,66,46
10,2020-01-11,80,PM2.5,Compton,06-037-1302,AQS,24,33,1,16,80,33
11,2020-01-12,76,PM2.5,Compton,06-037-1302,AQS,15,39,0,17,76,33
12,2020-01-13,80,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,15,41,0,23,80,54
13,2020-01-14,85,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,20,37,6,31,85,50
14,2020-01-15,124,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,22,36,0,39,124,55
15,2020-01-16,91,PM2.5,Pico Rivera #2,06-037-1602,AQS,19,39,0,36,91,40
16,2020-01-17,40,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,11,38,0,6,40,40
17,2020-01-18,62,PM2.5,Long Beach (South),06-037-4004,AQS,15,40,0,11,62,46
18,2020-01-19,58,PM2.5,Long Beach (South),06-037-4004,AQS,14,37,1,16,58,42
19,2020-01-20,69,PM2.5,Compton,06-037-1302,AQS,16,34,0,22,69,37
20,2020-01-21,48,PM2.5,Glendora,06-037-0016,AQS,7,39,0,14,48,39
21,2020-01-22,59,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,14,36,1,24,59,51
22,2020-01-23,58,PM2.5,Long Beach (South),06-037-4004,AQS,15,36,0,17,58,56
23,2020-01-24,68,PM2.5,Compton,06-037-1302,AQS,24,32,3,16,68,56
24,2020-01-25,99,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,14,42,3,21,99,46
25,2020-01-26,130,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,9,44,1,39,130,37
26,2020-01-27,77,PM2.5,Long Beach (South),06-037-4004,AQS,13,39,3,25,77,58
27,2020-01-28,58,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,14,42,6,50,57,58
28,2020-01-29,54,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,11,43,1,35,46,54
29,2020-01-30,59,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,17,40,0,25,59,52
30,2020-01-31,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,23,36,1,21,67,62
31,2020-02-01,59,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,24,47,1,18,59,41
32,2020-02-02,69,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,27,43,3,32,69,37
33,2020-02-03,54,PM10,Long Beach (Hudson),06-037-4006,AQS,6,45,0,54,26,43
34,2020-02-04,49,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,11,41,3,19,31,49
35,2020-02-05,52,PM2.5,Long Beach (South),06-037-4004,AirNow,16,32,1,26,52,49
36,2020-02-06,62,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,17,41,1,30,62,47
37,2020-02-07,76,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,22,43,1,31,76,54
38,2020-02-08,83,PM2.5,Compton,06-037-1302,AQS,16,67,0,32,83,41
39,2020-02-09,55,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,7,42,0,44,55,28
40,2020-02-10,44,NO2,Los Angeles-North Main Street,06-037-1103,AQS,10,41,0,31,42,44
41,2020-02-11,45,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,11,44,0,19,45,42
42,2020-02-12,52,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,11,43,1,24,52,40
43,2020-02-13,62,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,13,45,0,32,62,41
44,2020-02-14,66,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,16,49,0,32,66,46
45,2020-02-15,74,PM2.5,Compton,06-037-1302,AQS,17,61,3,34,74,39
46,2020-02-16,77,Ozone,Pomona,06-037-1701,AQS,11,77,4,28,74,39
47,2020-02-17,72,PM2.5,Compton,06-037-1302,AQS,14,71,4,31,72,42
48,2020-02-18,75,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,14,45,1,33,75,42
49,2020-02-19,83,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,7,49,1,38,83,40
50,2020-02-20,78,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,13,47,3,22,78,53
51,2020-02-21,70,PM2.5,Long Beach (South),06-037-4004,AQS,16,58,1,35,70,47
52,2020-02-22,41,Ozone,Pasadena,06-037-2005,AQS,5,41,0,12,34,19
53,2020-02-23,54,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,7,47,0,18,54,25
54,2020-02-24,62,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,14,44,1,27,62,36
