,Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
55,2020-02-25,66,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,16,46,1,17,61,66
56,2020-02-26,52,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,17,43,1,17,51,52
57,2020-02-27,57,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,14,43,3,49,57,53
58,2020-02-28,74,NO2,West Los Angeles,06-037-0113,AQS,15,45,3,23,46,74
59,2020-02-29,50,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,8,50,1,19,50,34
60,2020-03-01,46,PM2.5,Glendora,06-037-0016,AQS,5,46,0,15,46,13
61,2020-03-02,44,Ozone,Pasadena,06-037-2005,AQS,7,44,0,18,35,40
62,2020-03-03,44,Ozone,Pasadena,06-037-2005,AQS,9,44,3,14,39,39
63,2020-03-04,59,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,10,44,1,32,59,34
64,2020-03-05,72,PM2.5,Long Beach (South),06-037-4004,AQS,7,58,0,31,72,48
65,2020-03-06,67,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,9,58,3,34,67,39
66,2020-03-07,41,Ozone,Pomona,06-037-1701,AQS,5,41,0,15,36,12
67,2020-03-08,42,Ozone,Pasadena,06-037-2005,AQS,6,42,1,4,27,26
68,2020-03-09,45,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,8,37,1,12,35,45
69,2020-03-10,28,Ozone,Pasadena,06-037-2005,AQS,3,28,1,7,23,22
70,2020-03-11,41,Ozone,Reseda,06-037-1201,AQS,6,41,1,7,26,33
71,2020-03-12,43,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,10,31,0,6,43,42
72,2020-03-13,41,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,6,37,0,5,35,41
73,2020-03-14,41,Ozone,Reseda,06-037-1201,AQS,6,41,0,6,34,25
74,2020-03-15,43,Ozone,Pasadena,06-037-2005,AQS,5,43,0,6,31,26
75,2020-03-16,39,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,7,38,1,16,36,39
76,2020-03-17,46,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,8,42,0,2,38,46
77,2020-03-18,48,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,8,44,0,10,46,48
78,2020-03-19,44,Ozone,Reseda,06-037-1201,AQS,7,44,0,4,30,39
79,2020-03-20,43,Ozone,Pasadena,06-037-2005,AQS,6,43,0,6,25,32
80,2020-03-21,47,Ozone,Reseda,06-037-1201,AQS,6,47,0,4,32,26
81,2020-03-22,43,Ozone,Pasadena,06-037-2005,AQS,9,43,0,6,32,21
82,2020-03-23,45,Ozone,Pasadena,06-037-2005,AQS,5,45,0,2,22,40
83,2020-03-24,43,Ozone,Pasadena,06-037-2005,AQS,7,43,0,4,27,28
84,2020-03-25,44,Ozone,Pasadena,06-037-2005,AQS,5,44,0,9,23,43
85,2020-03-26,45,Ozone,Pasadena,06-037-2005,AQS,5,45,0,7,25,42
86,2020-03-27,48,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,6,47,0,9,36,48
87,2020-03-28,51,Ozone,Pasadena,06-037-2005,AQS,6,51,0,13,42,25
88,2020-03-29,51,Ozone,Pasadena,06-037-2005,AQS,6,51,0,16,47,24
89,2020-03-30,54,Ozone,Pasadena,06-037-2005,AQS,6,54,0,20,40,36
90,2020-03-31,74,Ozone,Pasadena,06-037-2005,AQS,11,74,0,19,52,46
91,2020-04-01,67,Ozone,Glendora,06-037-0016,AQS,6,67,0,22,56,31
92,2020-04-02,50,PM2.5,Glendora,06-037-0016,AQS,3,49,0,19,50,19
93,2020-04-03,54,Ozone,Pasadena,06-037-2005,AQS,5,54,0,24,53,26
94,2020-04-04,52,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,5,50,0,20,52,26
95,2020-04-05,37,Ozone,Pomona,06-037-1701,AQS,3,37,0,9,32,8
96,2020-04-06,41,Ozone,Reseda,06-037-1201,AQS,5,41,0,2,22,36
97,2020-04-07,40,Ozone,Reseda,06-037-1201,AQS,5,40,0,5,25,38
98,2020-04-08,51,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,5,43,0,5,26,51
99,2020-04-09,35,Ozone,Reseda,06-037-1201,AQS,5,35,0,3,24,16
100,2020-04-10,42,Ozone,Pasadena,06-037-2005,AQS,5,42,0,4,26,36
101,2020-04-11,49,Ozone,Pasadena,06-037-2005,AQS,6,49,0,9,40,28
102,2020-04-12,41,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,3,39,0,6,41,9
103,2020-04-13,38,Ozone,Reseda,06-037-1201,AQS,3,38,0,7,31,35
104,2020-04-14,51,Ozone,Glendora,06-037-0016,AQS,7,51,0,12,47,43
105,2020-04-15,74,Ozone,Pasadena,06-037-2005,AQS,9,74,1,15,52,50
106,2020-04-16,71,Ozone,Pasadena,06-037-2005,AQS,6,71,0,15,53,36
107,2020-04-17,43,Ozone,Reseda,06-037-1201,AQS,5,43,0,13,38,25
108,2020-04-18,40,Ozone,Pasadena,06-037-2005,AQS,3,40,0,8,38,10
109,2020-04-19,44,Ozone,Pasadena,06-037-2005,AQS,3,44,0,12,40,10
110,2020-04-20,43,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,3,42,0,16,43,42
111,2020-04-21,48,PM2.5,Glendora,06-037-0016,AQS,5,47,3,21,48,28
112,2020-04-22,100,Ozone,Glendora,06-037-0016,AQS,7,100,1,21,53,45
113,2020-04-23,140,Ozone,Glendora,06-037-0016,AQS,6,140,1,21,57,37
114,2020-04-24,143,Ozone,Pomona,06-037-1701,AQS,7,143,1,20,57,61
115,2020-04-25,182,Ozone,Pasadena,06-037-2005,AQS,6,182,1,20,57,28
116,2020-04-26,166,Ozone,Pasadena,06-037-2005,AQS,7,166,0,18,61,28
117,2020-04-27,108,Ozone,Santa Clarita,06-037-6012,AQS,6,108,0,24,62,30
118,2020-04-28,185,Ozone,Santa Clarita,06-037-6012,AQS,7,185,0,31,65,30
119,2020-04-29,147,Ozone,Santa Clarita,06-037-6012,AQS,5,147,0,33,68,28
120,2020-04-30,143,Ozone,Glendora,06-037-0016,AQS,5,143,0,35,70,40
121,2020-05-01,97,Ozone,Glendora,06-037-0016,AQS,5,97,0,30,63,29
122,2020-05-02,90,Ozone,Glendora,06-037-0016,AQS,5,90,1,27,57,19
123,2020-05-03,61,Ozone,Glendora,06-037-0016,AQS,5,61,0,23,53,16
124,2020-05-04,115,Ozone,Glendora,06-037-0016,AQS,5,115,1,27,58,39
125,2020-05-05,159,Ozone,Pomona,06-037-1701,AQS,7,159,1,34,57,56
126,2020-05-06,206,Ozone,Glendora,06-037-0016,AQS,8,206,3,26,59,47
127,2020-05-07,203,Ozone,Pasadena,06-037-2005,AQS,8,203,3,35,60,43
128,2020-05-08,185,Ozone,Santa Clarita,06-037-6012,AQS,7,185,1,34,72,38
129,2020-05-09,143,Ozone,Santa Clarita,06-037-6012,AQS,6,143,0,34,72,23
130,2020-05-10,97,Ozone,Pasadena,06-037-2005,AQS,6,97,0,28,66,13
131,2020-05-11,80,Ozone,Glendora,06-037-0016,AQS,5,80,0,22,56,39
132,2020-05-12,39,Ozone,Pomona,06-037-1701,AQS,6,39,0,18,38,25
133,2020-05-13,49,Ozone,Pasadena,06-037-2005,AQS,5,49,1,19,34,26
134,2020-05-14,48,Ozone,Glendora,06-037-0016,AQS,5,48,0,28,44,25
135,2020-05-15,87,Ozone,Glendora,06-037-0016,AQS,3,87,0,23,51,21
136,2020-05-16,140,Ozone,Glendora,06-037-0016,AQS,5,140,0,29,59,26
137,2020-05-17,77,Ozone,Pasadena,06-037-2005,AQS,5,77,0,22,54,17
138,2020-05-18,39,Ozone,Reseda,06-037-1201,AQS,2,39,0,7,33,26
139,2020-05-19,45,Ozone,Pomona,06-037-1701,AQS,2,45,0,11,31,32
140,2020-05-20,54,Ozone,Pomona,06-037-1701,AQS,3,54,0,15,40,32
141,2020-05-21,97,Ozone,Pasadena,06-037-2005,AQS,7,97,0,19,51,39
142,2020-05-22,67,PM2.5,Reseda,06-037-1201,AQS,3,64,0,24,67,25
143,2020-05-23,71,Ozone,Pasadena,06-037-2005,AQS,3,71,0,24,70,17
144,2020-05-24,108,Ozone,Glendora,06-037-0016,AQS,5,108,0,28,71,19
145,2020-05-25,140,Ozone,Glendora,06-037-0016,AQS,5,140,0,31,74,21
146,2020-05-26,147,Ozone,Glendora,06-037-0016,AQS,7,147,0,36,76,38
147,2020-05-27,136,Ozone,Reseda,06-037-1201,AQS,5,136,0,35,66,28
148,2020-05-28,161,Ozone,Santa Clarita,06-037-6012,AQS,5,161,0,31,63,26
149,2020-05-29,64,Ozone,Lancaster-Division Street,06-037-9033,AQS,3,64,0,28,54,18
150,2020-05-30,56,PM2.5,Pico Rivera #2,06-037-1602,AQS,2,42,0,13,56,15
151,2020-05-31,54,Ozone,Pasadena,06-037-2005,AQS,3,54,1,12,49,19
152,2020-06-01,71,Ozone,Pomona,06-037-1701,AQS,6,71,0,32,51,38
153,2020-06-02,122,Ozone,Santa Clarita,06-037-6012,AQS,5,122,4,31,58,28
154,2020-06-03,129,Ozone,Glendora,06-037-0016,AQS,6,129,0,29,61,38
155,2020-06-04,108,Ozone,Santa Clarita,06-037-6012,AQS,3,108,0,39,62,19
156,2020-06-05,49,PM2.5,Reseda,06-037-1201,AQS,2,35,0,31,49,17
157,2020-06-06,38,PM2.5,North Hollywood (NOHO),06-037-4010,AQS,2,38,0,19,38,13
158,2020-06-07,48,Ozone,Pomona,06-037-1701,AQS,3,48,0,32,45,18
159,2020-06-08,74,Ozone,Pasadena,06-037-2005,AQS,6,74,0,19,36,43
160,2020-06-09,80,Ozone,Glendora,06-037-0016,AQS,8,80,0,25,40,55
161,2020-06-10,143,Ozone,Glendora,06-037-0016,AQS,13,143,1,29,58,56
162,2020-06-11,161,Ozone,Glendora,06-037-0016,AQS,7,161,1,35,55,41
163,2020-06-12,77,Ozone,Glendora,06-037-0016,AQS,3,77,0,27,55,22
164,2020-06-13,61,Ozone,Glendora,06-037-0016,AQS,3,61,0,25,51,17
165,2020-06-14,77,Ozone,Santa Clarita,06-037-6012,AQS,3,77,0,20,52,21
166,2020-06-15,112,Ozone,Santa Clarita,06-037-6012,AQS,5,112,0,28,54,28
167,2020-06-16,61,Ozone,Santa Clarita,06-037-6012,AQS,3,61,0,26,56,31
168,2020-06-17,71,Ozone,Santa Clarita,06-037-6012,AQS,2,71,0,26,55,14
169,2020-06-18,64,Ozone,Santa Clarita,06-037-6012,AQS,3,64,0,31,54,35
170,2020-06-19,97,Ozone,Santa Clarita,06-037-6012,AQS,3,97,0,31,58,23
171,2020-06-20,77,Ozone,Lancaster-Division Street,06-037-9033,AQS,3,77,0,29,58,21
172,2020-06-21,105,Ozone,Pomona,06-037-1701,AQS,3,105,0,23,59,9
173,2020-06-22,154,Ozone,Santa Clarita,06-037-6012,AQS,3,154,0,29,64,27
174,2020-06-23,159,Ozone,Santa Clarita,06-037-6012,AQS,3,159,0,33,67,31
175,2020-06-24,156,Ozone,Santa Clarita,06-037-6012,AQS,3,156,0,29,61,36
176,2020-06-25,112,Ozone,Santa Clarita,06-037-6012,AQS,3,112,0,26,58,30
177,2020-06-26,126,Ozone,Santa Clarita,06-037-6012,AQS,3,126,0,29,54,37
178,2020-06-27,119,Ozone,Santa Clarita,06-037-6012,AQS,3,119,0,31,55,18
179,2020-06-28,42,PM10,Lancaster-Division Street,06-037-9033,AQS,2,40,1,42,33,7
180,2020-06-29,44,Ozone,Reseda,06-037-1201,AQS,2,44,0,15,36,30
181,2020-06-30,80,Ozone,Pomona,06-037-1701,AQS,3,80,0,28,51,34
182,2020-07-01,77,Ozone,Santa Clarita,06-037-6012,AQS,2,77,0,32,58,26
183,2020-07-02,100,Ozone,Glendora,06-037-0016,AQS,3,100,0,39,55,21
184,2020-07-03,129,Ozone,Glendora,06-037-0016,AQS,5,129,0,23,53,33
185,2020-07-04,169,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,6,101,4,46,169,26
186,2020-07-05,225,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,7,150,4,49,225,25
187,2020-07-06,140,Ozone,Glendora,06-037-0016,AQS,7,140,1,30,69,35
188,2020-07-07,129,Ozone,Glendora,06-037-0016,AQS,5,129,1,37,68,37
189,2020-07-08,105,Ozone,Glendora,06-037-0016,AQS,3,105,0,46,68,31
190,2020-07-09,156,Ozone,Glendora,06-037-0016,AQS,5,156,0,39,66,30
191,2020-07-10,204,Ozone,Glendora,06-037-0016,AQS,5,204,0,39,69,43
192,2020-07-11,177,Ozone,Glendora,06-037-0016,AQS,7,177,0,26,59,33
193,2020-07-12,172,Ozone,Glendora,06-037-0016,AQS,5,172,0,21,60,24
194,2020-07-13,112,Ozone,Santa Clarita,06-037-6012,AQS,5,112,1,34,69,25
195,2020-07-14,90,Ozone,Glendora,06-037-0016,AQS,3,90,1,37,63,26
196,2020-07-15,101,Ozone,Santa Clarita,06-037-6012,AQS,3,101,0,26,57,31
197,2020-07-16,108,Ozone,Glendora,06-037-0016,AQS,3,108,0,30,55,31
198,2020-07-17,136,Ozone,Glendora,06-037-0016,AQS,3,136,0,25,51,40
199,2020-07-18,122,Ozone,Pomona,06-037-1701,AQS,3,122,0,20,42,21
200,2020-07-19,97,Ozone,Pomona,06-037-1701,AQS,5,97,1,24,47,16
201,2020-07-20,133,Ozone,Santa Clarita,06-037-6012,AQS,5,133,0,56,52,29
202,2020-07-21,143,Ozone,Santa Clarita,06-037-6012,AQS,5,143,0,36,59,32
203,2020-07-22,100,Ozone,Santa Clarita,06-037-6012,AQS,3,100,0,28,54,28
204,2020-07-23,80,Ozone,Santa Clarita,06-037-6012,AQS,3,80,0,23,57,23
205,2020-07-24,115,Ozone,Santa Clarita,06-037-6012,AQS,3,115,0,31,57,34
206,2020-07-25,140,Ozone,Glendora,06-037-0016,AQS,3,140,0,24,58,19
207,2020-07-26,143,Ozone,Pomona,06-037-1701,AQS,5,143,0,23,55,20
208,2020-07-27,97,Ozone,Santa Clarita,06-037-6012,AQS,5,97,0,31,57,36
209,2020-07-28,129,Ozone,Santa Clarita,06-037-6012,AQS,6,129,0,33,57,32
210,2020-07-29,164,Ozone,Santa Clarita,06-037-6012,AQS,5,164,0,35,60,41
211,2020-07-30,161,Ozone,Glendora,06-037-0016,AQS,6,161,0,36,61,38
212,2020-07-31,187,Ozone,Pomona,06-037-1701,AQS,11,187,3,33,62,46
213,2020-08-01,161,Ozone,Santa Clarita,06-037-6012,AQS,7,161,1,40,70,42
214,2020-08-02,140,Ozone,Santa Clarita,06-037-6012,AQS,6,140,1,32,70,25
215,2020-08-03,200,Ozone,Santa Clarita,06-037-6012,AQS,5,200,1,36,71,30
216,2020-08-04,122,Ozone,Santa Clarita,06-037-6012,AQS,6,122,0,38,67,31
217,2020-08-05,97,Ozone,Santa Clarita,06-037-6012,AQS,3,97,0,31,61,37
218,2020-08-06,61,Ozone,Santa Clarita,06-037-6012,AQS,3,61,0,26,57,32
219,2020-08-07,93,Ozone,Santa Clarita,06-037-6012,AQS,5,93,0,31,58,26
220,2020-08-08,112,Ozone,Glendora,06-037-0016,AQS,6,112,1,31,62,29
221,2020-08-09,105,Ozone,Pomona,06-037-1701,AQS,5,105,0,24,57,18
222,2020-08-10,87,Ozone,Pomona,06-037-1701,AQS,5,87,0,27,55,34
223,2020-08-11,112,Ozone,Pomona,06-037-1701,AQS,6,112,0,28,50,37
224,2020-08-12,147,Ozone,Glendora,06-037-0016,AQS,9,147,0,30,53,50
225,2020-08-13,166,Ozone,Pomona,06-037-1701,AQS,7,166,0,53,63,54
226,2020-08-14,204,Ozone,Glendora,06-037-0016,AQS,10,204,1,58,111,56
227,2020-08-15,220,Ozone,Glendora,06-037-0016,AQS,10,220,1,55,83,43
228,2020-08-16,133,PM2.5,Lancaster-Division Street,06-037-9033,AQS,13,93,1,67,133,28
229,2020-08-17,164,Ozone,Glendora,06-037-0016,AQS,8,164,1,61,93,43
230,2020-08-18,222,Ozone,Glendora,06-037-0016,AQS,8,222,0,79,102,58
231,2020-08-19,217,Ozone,Glendora,06-037-0016,AQS,8,217,1,67,97,44
232,2020-08-20,218,Ozone,Santa Clarita,06-037-6012,AQS,8,218,0,41,153,52
233,2020-08-21,200,Ozone,Lancaster-Division Street,06-037-9033,AirNow,13,200,1,41,161,48
234,2020-08-22,143,Ozone,Lancaster-Division Street,06-037-9033,AirNow,7,143,0,32,82,30
235,2020-08-23,80,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,6,71,0,28,80,15
236,2020-08-24,90,Ozone,Santa Clarita,06-037-6012,AQS,5,90,0,31,63,29
237,2020-08-25,74,Ozone,Glendora,06-037-0016,AQS,8,74,0,44,60,36
238,2020-08-26,97,Ozone,Pomona,06-037-1701,AQS,9,97,0,22,56,36
239,2020-08-27,129,Ozone,Pomona,06-037-1701,AQS,9,129,1,38,68,49
240,2020-08-28,112,Ozone,Glendora,06-037-0016,AQS,7,112,1,34,62,38
241,2020-08-29,115,Ozone,Glendora,06-037-0016,AQS,5,115,0,25,54,21
242,2020-08-30,115,Ozone,Glendora,06-037-0016,AQS,3,115,0,20,55,14
243,2020-08-31,115,Ozone,Glendora,06-037-0016,AQS,5,115,0,32,55,36
244,2020-09-01,100,Ozone,Glendora,06-037-0016,AQS,5,100,0,28,57,34
245,2020-09-02,150,Ozone,Santa Clarita,06-037-6012,AQS,6,150,1,34,55,37
246,2020-09-03,201,Ozone,Santa Clarita,06-037-6012,AQS,7,201,1,56,73,43
247,2020-09-04,220,Ozone,Glendora,06-037-0016,AQS,11,220,3,52,80,58
248,2020-09-05,235,Ozone,Glendora,06-037-0016,AQS,13,235,1,37,84,54
249,2020-09-06,214,Ozone,Los Angeles-North Main Street,06-037-1103,AQS,16,214,3,42,82,43
250,2020-09-07,161,PM2.5,Lancaster-Division Street,06-037-9033,AQS,11,90,3,84,161,39
251,2020-09-08,127,PM2.5,Lancaster-Division Street,06-037-9033,AQS,5,51,0,119,127,30
252,2020-09-09,95,PM2.5,Azusa,06-037-0002,AQS,11,47,0,76,95,45
253,2020-09-10,158,PM2.5,Glendora,06-037-0016,AQS,19,35,1,81,158,54
254,2020-09-11,199,PM2.5,Glendora,06-037-0016,AQS,22,108,0,136,199,90
255,2020-09-12,179,PM2.5,Glendora,06-037-0016,AQS,25,101,1,99,179,65
256,2020-09-13,165,PM2.5,Glendora,06-037-0016,AQS,17,159,0,65,165,36
257,2020-09-14,197,Ozone,Glendora,06-037-0016,AQS,23,197,0,68,159,57
258,2020-09-15,161,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,19,161,0,67,161,77
259,2020-09-16,159,PM2.5,Glendora,06-037-0016,AQS,24,154,0,65,159,100
260,2020-09-17,133,Ozone,Lancaster-Division Street,06-037-9033,AQS,16,133,0,54,91,68
261,2020-09-18,156,Ozone,Reseda,06-037-1201,AQS,14,156,1,71,84,55
262,2020-09-19,147,Ozone,Glendora,06-037-0016,AQS,11,147,1,46,100,43
263,2020-09-20,119,Ozone,North Hollywood (NOHO),06-037-4010,AQS,10,119,1,38,81,29
264,2020-09-21,100,Ozone,Santa Clarita,06-037-6012,AQS,6,100,0,48,74,38
265,2020-09-22,122,Ozone,Glendora,06-037-0016,AQS,7,122,0,31,70,42
266,2020-09-23,126,Ozone,Pasadena,06-037-2005,AQS,10,126,0,58,77,45
267,2020-09-24,201,Ozone,Santa Clarita,06-037-6012,AQS,10,201,1,64,94,52
268,2020-09-25,136,Ozone,Santa Clarita,06-037-6012,AQS,9,136,0,45,73,35
269,2020-09-26,151,Ozone,Reseda,06-037-1201,AQS,7,151,0,54,78,27
270,2020-09-27,154,Ozone,Santa Clarita,06-037-6012,AQS,6,154,0,49,71,18
271,2020-09-28,179,Ozone,Glendora,06-037-0016,AQS,7,179,0,36,83,45
272,2020-09-29,150,Ozone,Pasadena,06-037-2005,AQS,9,150,0,36,64,55
273,2020-09-30,161,Ozone,Glendora,06-037-0016,AQS,19,161,1,55,65,96
274,2020-10-01,172,Ozone,North Hollywood (NOHO),06-037-4010,AQS,17,172,1,53,86,55
275,2020-10-02,204,Ozone,Reseda,06-037-1201,AQS,11,204,3,54,88,62
276,2020-10-03,210,Ozone,Reseda,06-037-1201,AQS,11,210,1,62,112,50
277,2020-10-04,177,Ozone,Pasadena,06-037-2005,AQS,11,177,0,55,127,43
278,2020-10-05,151,Ozone,Reseda,06-037-1201,AQS,14,151,0,53,121,62
279,2020-10-06,159,Ozone,North Hollywood (NOHO),06-037-4010,AQS,14,159,0,68,112,58
280,2020-10-07,133,Ozone,Santa Clarita,06-037-6012,AQS,11,133,0,51,94,55
281,2020-10-08,84,PM2.5,Reseda,06-037-1201,AQS,5,77,0,53,84,36
282,2020-10-09,77,PM2.5,Glendora,06-037-0016,AQS,6,74,0,43,77,42
283,2020-10-10,80,Ozone,Reseda,06-037-1201,AQS,5,80,0,31,68,22
284,2020-10-11,87,Ozone,Glendora,06-037-0016,AQS,8,87,1,38,61,21
285,2020-10-12,100,Ozone,Glendora,06-037-0016,AQS,11,100,0,43,63,68
286,2020-10-13,100,Ozone,Reseda,06-037-1201,AQS,16,100,1,38,69,77
287,2020-10-14,164,Ozone,Reseda,06-037-1201,AQS,24,164,9,55,72,70
288,2020-10-15,185,Ozone,Los Angeles-North Main Street,06-037-1103,AQS,11,185,0,52,74,99
289,2020-10-16,169,Ozone,North Hollywood (NOHO),06-037-4010,AQS,13,169,3,43,70,61
290,2020-10-17,119,Ozone,Glendora,06-037-0016,AQS,14,119,1,36,66,44
291,2020-10-18,159,Ozone,Santa Clarita,06-037-6012,AQS,9,159,0,44,78,31
292,2020-10-19,126,Ozone,Reseda,06-037-1201,AQS,6,126,0,45,77,35
